match_id,barca_played,home_team,away_team,match_date,season
303731,True,Barcelona,Eibar,2020-02-22,2019/2020
303532,True,Barcelona,Leganés,2020-06-16,2019/2020
303516,True,Celta Vigo,Barcelona,2020-06-27,2019/2020
303596,True,Barcelona,Real Madrid,2019-12-18,2019/2020
303430,True,Barcelona,Villarreal,2019-09-24,2019/2020
303725,True,Villarreal,Barcelona,2020-07-05,2019/2020
303504,True,Levante,Barcelona,2019-11-02,2019/2020
303451,True,Barcelona,Mallorca,2019-12-07,2019/2020
303664,True,Real Sociedad,Barcelona,2019-12-14,2019/2020
303682,True,Barcelona,Levante,2020-02-02,2019/2020
303400,True,Valencia,Barcelona,2020-01-25,2019/2020
303634,True,Barcelona,Osasuna,2020-07-16,2019/2020
303421,True,Deportivo Alavés,Barcelona,2020-07-19,2019/2020
303493,True,Barcelona,Athletic Bilbao,2020-06-23,2019/2020
303680,True,Real Valladolid,Barcelona,2020-07-11,2019/2020
303479,True,Barcelona,Real Sociedad,2020-03-07,2019/2020
303615,True,Barcelona,Espanyol,2020-07-08,2019/2020
303696,True,Barcelona,Atlético Madrid,2020-06-30,2019/2020
303487,True,Barcelona,Celta Vigo,2019-11-09,2019/2020
303600,True,Barcelona,Real Valladolid,2019-10-29,2019/2020
303548,True,Mallorca,Barcelona,2020-06-13,2019/2020
303652,True,Espanyol,Barcelona,2020-01-04,2019/2020
303674,True,Sevilla,Barcelona,2020-06-19,2019/2020
303470,True,Real Madrid,Barcelona,2020-03-01,2019/2020
303700,True,Eibar,Barcelona,2019-10-19,2019/2020
303707,True,Real Betis,Barcelona,2020-02-09,2019/2020
303666,True,Granada,Barcelona,2019-09-21,2019/2020
303715,True,Leganés,Barcelona,2019-11-23,2019/2020
303377,True,Barcelona,Getafe,2020-02-15,2019/2020
303524,True,Atlético Madrid,Barcelona,2019-12-01,2019/2020
303517,True,Barcelona,Deportivo Alavés,2019-12-21,2019/2020
303610,True,Barcelona,Granada,2020-01-19,2019/2020
303473,True,Barcelona,Sevilla,2019-10-06,2019/2020
15998,True,Leganés,Barcelona,2018-09-26,2018/2019
16029,True,Barcelona,Sevilla,2018-10-20,2018/2019
16073,True,Atlético Madrid,Barcelona,2018-11-24,2018/2019
16086,True,Espanyol,Barcelona,2018-12-08,2018/2019
16190,True,Sevilla,Barcelona,2019-02-23,2018/2019
16109,True,Barcelona,Celta Vigo,2018-12-22,2018/2019
16120,True,Getafe,Barcelona,2019-01-06,2018/2019
16182,True,Barcelona,Real Valladolid,2019-02-16,2018/2019
16215,True,Real Betis,Barcelona,2019-03-17,2018/2019
16173,True,Athletic Bilbao,Barcelona,2019-02-10,2018/2019
16265,True,Barcelona,Real Sociedad,2019-04-20,2018/2019
15946,True,Barcelona,Deportivo Alavés,2018-08-18,2018/2019
16157,True,Barcelona,Valencia,2019-02-02,2018/2019
16136,True,Barcelona,Leganés,2019-01-20,2018/2019
16248,True,Barcelona,Atlético Madrid,2019-04-06,2018/2019
16056,True,Barcelona,Real Betis,2018-11-11,2018/2019
16289,True,Barcelona,Levante,2019-04-27,2018/2019
16079,True,Barcelona,Villarreal,2018-12-02,2018/2019
16149,True,Girona,Barcelona,2019-01-27,2018/2019
16275,True,Deportivo Alavés,Barcelona,2019-04-23,2018/2019
15973,True,Barcelona,Huesca,2018-09-02,2018/2019
16317,True,Eibar,Barcelona,2019-05-19,2018/2019
16131,True,Barcelona,Eibar,2019-01-13,2018/2019
16205,True,Barcelona,Rayo Vallecano,2019-03-09,2018/2019
16095,True,Levante,Barcelona,2018-12-16,2018/2019
16306,True,Barcelona,Getafe,2019-05-12,2018/2019
16010,True,Barcelona,Athletic Bilbao,2018-09-29,2018/2019
15986,True,Barcelona,Girona,2018-09-23,2018/2019
16240,True,Villarreal,Barcelona,2019-04-02,2018/2019
15978,True,Real Sociedad,Barcelona,2018-09-15,2018/2019
16023,True,Valencia,Barcelona,2018-10-07,2018/2019
16196,True,Real Madrid,Barcelona,2019-03-02,2018/2019
15956,True,Real Valladolid,Barcelona,2018-08-25,2018/2019
16231,True,Barcelona,Espanyol,2019-03-30,2018/2019
9575,True,Barcelona,Real Betis,2017-08-20,2017/2018
9928,True,Barcelona,Villarreal,2018-05-09,2017/2018
9609,True,Barcelona,Eibar,2017-09-19,2017/2018
9736,True,Real Madrid,Barcelona,2017-12-23,2017/2018
9742,True,Barcelona,Levante,2018-01-07,2017/2018
9855,True,Barcelona,Athletic Bilbao,2018-03-18,2017/2018
9765,True,Real Betis,Barcelona,2018-01-21,2017/2018
9636,True,Barcelona,Las Palmas,2017-10-01,2017/2018
9799,True,Eibar,Barcelona,2018-02-17,2017/2018
9880,True,Barcelona,Valencia,2018-04-14,2017/2018
9924,True,Barcelona,Real Madrid,2018-05-06,2017/2018
9661,True,Athletic Bilbao,Barcelona,2017-10-28,2017/2018
9592,True,Barcelona,Espanyol,2017-09-09,2017/2018
9870,True,Barcelona,Leganés,2018-04-07,2017/2018
9783,True,Espanyol,Barcelona,2018-02-04,2017/2018
9700,True,Barcelona,Celta Vigo,2017-12-02,2017/2018
9860,True,Sevilla,Barcelona,2018-03-31,2017/2018
9695,True,Valencia,Barcelona,2017-11-26,2017/2018
9794,True,Barcelona,Getafe,2018-02-11,2017/2018
9717,True,Villarreal,Barcelona,2017-12-10,2017/2018
9673,True,Barcelona,Sevilla,2017-11-04,2017/2018
9650,True,Barcelona,Málaga,2017-10-21,2017/2018
9620,True,Girona,Barcelona,2017-09-23,2017/2018
9827,True,Las Palmas,Barcelona,2018-03-01,2017/2018
9837,True,Barcelona,Atlético Madrid,2018-03-04,2017/2018
9912,True,Deportivo La Coruna,Barcelona,2018-04-29,2017/2018
9811,True,Barcelona,Girona,2018-02-24,2017/2018
9642,True,Atlético Madrid,Barcelona,2017-10-14,2017/2018
9774,True,Barcelona,Deportivo Alavés,2018-01-28,2017/2018
9602,True,Getafe,Barcelona,2017-09-16,2017/2018
9948,True,Barcelona,Real Sociedad,2018-05-20,2017/2018
9682,True,Leganés,Barcelona,2017-11-18,2017/2018
9581,True,Deportivo Alavés,Barcelona,2017-08-26,2017/2018
9726,True,Barcelona,Deportivo La Coruna,2017-12-17,2017/2018
9754,True,Real Sociedad,Barcelona,2018-01-14,2017/2018
9889,True,Celta Vigo,Barcelona,2018-04-17,2017/2018
266989,True,Sevilla,Barcelona,2016-11-06,2016/2017
266357,True,Osasuna,Barcelona,2016-12-10,2016/2017
267569,True,Real Madrid,Barcelona,2017-04-23,2016/2017
267212,True,Leganés,Barcelona,2016-09-17,2016/2017
266669,True,Barcelona,Deportivo Alavés,2016-09-10,2016/2017
266892,True,Athletic Bilbao,Barcelona,2016-08-28,2016/2017
267220,True,Barcelona,Atlético Madrid,2016-09-21,2016/2017
267670,True,Barcelona,Real Betis,2016-08-20,2016/2017
266516,True,Real Betis,Barcelona,2017-01-29,2016/2017
267039,True,Las Palmas,Barcelona,2017-05-14,2016/2017
266477,True,Villarreal,Barcelona,2017-01-08,2016/2017
267101,True,Barcelona,Osasuna,2017-04-26,2016/2017
266440,True,Barcelona,Valencia,2017-03-19,2016/2017
266033,True,Valencia,Barcelona,2016-10-22,2016/2017
267660,True,Deportivo La Coruna,Barcelona,2017-03-12,2016/2017
266273,True,Deportivo Alavés,Barcelona,2017-02-11,2016/2017
267395,True,Barcelona,Las Palmas,2017-01-14,2016/2017
266874,True,Barcelona,Athletic Bilbao,2017-02-04,2016/2017
266731,True,Eibar,Barcelona,2017-01-22,2016/2017
266528,True,Barcelona,Espanyol,2016-12-18,2016/2017
266280,True,Barcelona,Sevilla,2017-04-05,2016/2017
267432,True,Barcelona,Eibar,2017-05-21,2016/2017
267076,True,Barcelona,Real Madrid,2016-12-03,2016/2017
267590,True,Málaga,Barcelona,2017-04-08,2016/2017
267373,True,Barcelona,Real Sociedad,2017-04-15,2016/2017
267077,True,Espanyol,Barcelona,2017-04-29,2016/2017
266952,True,Barcelona,Villarreal,2017-05-06,2016/2017
267464,True,Atlético Madrid,Barcelona,2017-02-26,2016/2017
266299,True,Barcelona,Celta Vigo,2017-03-04,2016/2017
266191,True,Real Sociedad,Barcelona,2016-11-27,2016/2017
265952,True,Barcelona,Sporting Gijón,2017-03-01,2016/2017
267492,True,Barcelona,Deportivo La Coruna,2016-10-15,2016/2017
267596,True,Barcelona,Leganés,2017-02-19,2016/2017
267058,True,Barcelona,Granada,2016-10-29,2016/2017
266498,True,Barcelona,Getafe,2016-03-12,2015/2016
266986,True,Real Betis,Barcelona,2016-04-30,2015/2016
267533,True,Barcelona,Real Madrid,2016-04-02,2015/2016
266310,True,Deportivo La Coruna,Barcelona,2016-04-20,2015/2016
267576,True,Barcelona,Atlético Madrid,2016-01-30,2015/2016
266653,True,Rayo Vallecano,Barcelona,2016-03-03,2015/2016
265944,True,Barcelona,Sporting Gijón,2016-04-23,2015/2016
265894,True,Málaga,Barcelona,2016-01-23,2015/2016
265958,True,Barcelona,Espanyol,2016-05-08,2015/2016
267611,True,Barcelona,Las Palmas,2015-09-26,2015/2016
267422,True,Barcelona,Málaga,2015-08-29,2015/2016
266236,True,Athletic Bilbao,Barcelona,2015-08-23,2015/2016
267274,True,Valencia,Barcelona,2015-12-05,2015/2016
266961,True,Barcelona,Deportivo La Coruna,2015-12-12,2015/2016
266885,True,Barcelona,Real Sociedad,2015-11-28,2015/2016
266815,True,Sporting Gijón,Barcelona,2016-02-17,2015/2016
267506,True,Granada,Barcelona,2016-05-14,2015/2016
266664,True,Real Sociedad,Barcelona,2016-04-09,2015/2016
266106,True,Villarreal,Barcelona,2016-03-20,2015/2016
266670,True,Espanyol,Barcelona,2016-01-02,2015/2016
266149,True,Barcelona,Athletic Bilbao,2016-01-17,2015/2016
266620,True,Barcelona,Granada,2016-01-09,2015/2016
266056,True,Eibar,Barcelona,2016-03-06,2015/2016
267327,True,Barcelona,Real Betis,2015-12-30,2015/2016
266166,True,Atlético Madrid,Barcelona,2015-09-12,2015/2016
266160,True,Levante,Barcelona,2016-02-07,2015/2016
265839,True,Barcelona,Sevilla,2016-02-28,2015/2016
266424,True,Real Madrid,Barcelona,2015-11-21,2015/2016
266467,True,Celta Vigo,Barcelona,2015-09-23,2015/2016
267273,True,Las Palmas,Barcelona,2016-02-20,2015/2016
266490,True,Barcelona,Levante,2015-09-20,2015/2016
266254,True,Barcelona,Celta Vigo,2016-02-14,2015/2016
266557,True,Barcelona,Valencia,2016-04-17,2015/2016
265835,True,Barcelona,Sevilla,2014-11-22,2014/2015
266838,True,Málaga,Barcelona,2014-09-24,2014/2015
265963,True,Barcelona,Getafe,2015-04-28,2014/2015
266117,True,Barcelona,Granada,2014-09-27,2014/2015
266916,True,Barcelona,Rayo Vallecano,2015-03-08,2014/2015
267183,True,Barcelona,Real Madrid,2015-03-22,2014/2015
267197,True,Barcelona,Deportivo La Coruna,2015-05-23,2014/2015
70264,True,Getafe,Barcelona,2014-12-13,2014/2015
70273,True,Barcelona,Athletic Bilbao,2014-09-13,2014/2015
267301,True,Barcelona,Celta Vigo,2014-11-01,2014/2015
265896,True,Barcelona,Eibar,2014-10-18,2014/2015
265866,True,Córdoba,Barcelona,2015-05-02,2014/2015
267400,True,Barcelona,Almería,2015-04-08,2014/2015
266406,True,Villarreal,Barcelona,2014-08-31,2014/2015
267085,True,Real Madrid,Barcelona,2014-10-25,2014/2015
267561,True,Rayo Vallecano,Barcelona,2014-10-04,2014/2015
266148,True,Barcelona,Málaga,2015-02-21,2014/2015
266045,True,Barcelona,Real Sociedad,2015-05-09,2014/2015
70303,True,Barcelona,Atlético Madrid,2015-01-11,2014/2015
266240,True,Real Sociedad,Barcelona,2015-01-04,2014/2015
267597,True,Barcelona,Villarreal,2015-02-01,2014/2015
266794,True,Elche,Barcelona,2015-01-24,2014/2015
267343,True,Granada,Barcelona,2015-02-28,2014/2015
266631,True,Atlético Madrid,Barcelona,2015-05-17,2014/2015
266320,True,Barcelona,Espanyol,2014-12-07,2014/2015
266230,True,Deportivo La Coruna,Barcelona,2015-01-18,2014/2015
266525,True,Barcelona,Valencia,2015-04-18,2014/2015
266560,True,Valencia,Barcelona,2014-11-30,2014/2015
266846,True,Barcelona,Córdoba,2014-12-20,2014/2015
266531,True,Espanyol,Barcelona,2015-04-25,2014/2015
266921,True,Barcelona,Elche,2014-08-24,2014/2015
267499,True,Almería,Barcelona,2014-11-08,2014/2015
266741,True,Barcelona,Levante,2015-02-15,2014/2015
266871,True,Athletic Bilbao,Barcelona,2015-02-08,2014/2015
266967,True,Eibar,Barcelona,2015-03-14,2014/2015
266929,True,Celta Vigo,Barcelona,2015-04-05,2014/2015
266770,True,Levante,Barcelona,2014-09-21,2014/2015
266142,True,Sevilla,Barcelona,2015-04-11,2014/2015
267368,True,Barcelona,Real Betis,2014-04-05,2013/2014
70301,True,Barcelona,Sevilla,2013-09-14,2013/2014
70298,True,Valencia,Barcelona,2013-09-01,2013/2014
70302,True,Rayo Vallecano,Barcelona,2013-09-21,2013/2014
70291,True,Barcelona,Málaga,2014-01-26,2013/2014
267138,True,Granada,Barcelona,2014-04-12,2013/2014
267520,True,Barcelona,Real Sociedad,2013-09-24,2013/2014
70289,True,Villarreal,Barcelona,2014-04-27,2013/2014
266066,True,Barcelona,Almería,2014-03-02,2013/2014
267675,True,Sevilla,Barcelona,2014-02-09,2013/2014
70288,True,Levante,Barcelona,2014-01-19,2013/2014
266074,True,Barcelona,Osasuna,2014-03-16,2013/2014
267567,True,Barcelona,Athletic Bilbao,2014-04-20,2013/2014
266201,True,Elche,Barcelona,2014-05-11,2013/2014
266274,True,Barcelona,Celta Vigo,2014-03-26,2013/2014
70293,True,Barcelona,Real Madrid,2013-10-26,2013/2014
265918,True,Barcelona,Rayo Vallecano,2014-02-15,2013/2014
70277,True,Barcelona,Levante,2013-08-18,2013/2014
70283,True,Barcelona,Espanyol,2013-11-01,2013/2014
70306,True,Espanyol,Barcelona,2014-03-29,2013/2014
266256,True,Barcelona,Atlético Madrid,2014-05-17,2013/2014
266613,True,Barcelona,Valencia,2014-02-01,2013/2014
266491,True,Barcelona,Getafe,2014-05-03,2013/2014
265830,True,Atlético Madrid,Barcelona,2014-01-11,2013/2014
265857,True,Real Madrid,Barcelona,2014-03-23,2013/2014
266883,True,Real Betis,Barcelona,2013-11-10,2013/2014
266603,True,Real Valladolid,Barcelona,2014-03-08,2013/2014
265837,True,Real Sociedad,Barcelona,2014-02-22,2013/2014
266462,True,Osasuna,Barcelona,2013-10-19,2013/2014
267192,True,Celta Vigo,Barcelona,2013-10-29,2013/2014
266420,True,Almería,Barcelona,2013-09-28,2013/2014
266015,True,Real Valladolid,Barcelona,2012-12-22,2012/2013
70270,True,Barcelona,Granada,2012-09-22,2012/2013
70281,True,Barcelona,Real Betis,2013-05-05,2012/2013
